spec,spec_label,outcome,outcome_label,term,term_label,measure_note,coef,std_error,ci_low,ci_high,p_value,stars,nobs,n_sample,sample_filter,r2,se_type,implied_pct_change
rent_extensive_hc1,Rent presence only (HC1),ln_median_gross_rent,Log median gross rent,has_college,College present (0/1),indicator,0.0002050905074246,0.0057357452248778,-0.011036970133335888,0.011447151148185088,0.9714764725056536,,3136,3136,all_counties,0.812009411634916,HC1,0.02051115399206438
rent_intensive_positive_hc1,Rent intensity among college counties,ln_median_gross_rent,Log median gross rent,college_intensity_pct,Intensity among college counties (1 pp),raw,0.0020453867003328,0.0004150607917378,0.001231867548526712,0.0028589058521388882,8.310929959877779e-07,***,1398,1398,has_college == 1,0.8977887915592528,HC1,0.20474799306215985
rent_two_part_hc1,Rent two-part decomposition,ln_median_gross_rent,Log median gross rent,has_college,College present (0/1),indicator,-0.0019705735716898,0.0057219003256404,-0.013185498209944984,0.009244351066565385,0.730551915110484,,3136,3136,all_counties,0.8134802231380793,HC1,-0.19686332663031436
rent_two_part_hc1,Rent two-part decomposition,ln_median_gross_rent,Log median gross rent,college_intensity_pct_positive_centered,Conditional intensity (1 pp from positive-county mean),positive-county centered,0.0019287069613596,0.0003871933512831,0.001169807992844724,0.002687605929874476,6.317479361513949e-07,***,3136,3136,all_counties,0.8134802231380793,HC1,0.19305681129773156
rent_two_part_cluster_state,Rent two-part (state-clustered SE),ln_median_gross_rent,Log median gross rent,has_college,College present (0/1),indicator,-0.0019705735716898,0.0062969515953261,-0.014312598698528956,0.010371451555149357,0.7543255787614808,,3136,3136,all_counties,0.8134802231380793,cluster_state,-0.19686332663031436
rent_two_part_cluster_state,Rent two-part (state-clustered SE),ln_median_gross_rent,Log median gross rent,college_intensity_pct_positive_centered,Conditional intensity (1 pp from positive-county mean),positive-county centered,0.0019287069613596,0.0003640266720726,0.001215214684097304,0.002642199238621896,1.1691316263441987e-07,***,3136,3136,all_counties,0.8134802231380793,cluster_state,0.19305681129773156
rent_two_part_winsorized_intensity,Rent two-part winsorized intensity,ln_median_gross_rent,Log median gross rent,has_college,College present (0/1),indicator,-0.0024848100194616,0.0057304344227612,-0.013716461488073551,0.008746841449150352,0.6645670647809303,,3136,3136,all_counties,0.8138408544335678,HC1,-0.24817254344433604
rent_two_part_winsorized_intensity,Rent two-part winsorized intensity,ln_median_gross_rent,Log median gross rent,college_intensity_pct_positive_winsorized_centered,"Conditional intensity, winsorized (1 pp from positive-county mean)",winsorized positive-county centered,0.002540084527763,0.0003726049678931,0.0018097787906925242,0.003270390264833476,9.28979903201911e-12,***,3136,3136,all_counties,0.8138408544335678,HC1,0.25433132756524923
wage_extensive_hc1,Wage presence only (HC1),ln_avg_weekly_wage,Log average weekly wage,has_college,College present (0/1),indicator,-0.0059643636669944,0.0069671381519062,-0.019619954444730553,0.007691227110741752,0.3919586081522739,,3143,3143,all_counties,0.4373846093992306,HC1,-0.5946612159700937
wage_intensive_positive_hc1,Wage intensity among college counties,ln_avg_weekly_wage,Log average weekly wage,college_intensity_pct,Intensity among college counties (1 pp),raw,0.0007442321962025,0.0003800838441375,-7.321383069998919e-07,0.0014891965307119999,0.0502213599960205,*,1398,1398,has_college == 1,0.5538871459875079,HC1,0.07445092056990177
wage_two_part_hc1,Wage two-part decomposition,ln_avg_weekly_wage,Log average weekly wage,has_college,College present (0/1),indicator,-0.0063280092077661,0.0070154598070176,-0.020078310429520595,0.007422292013988396,0.3670519866886148,,3143,3143,all_counties,0.4374599577756118,HC1,-0.6308029523588998
wage_two_part_hc1,Wage two-part decomposition,ln_avg_weekly_wage,Log average weekly wage,college_intensity_pct_positive_centered,Conditional intensity (1 pp from positive-county mean),positive-county centered,0.0002897742876323,0.0003868520616457,-0.000468455753193272,0.001048004328457872,0.4538227839291819,,3143,3143,all_counties,0.4374599577756118,HC1,0.02898162762567935
wage_two_part_cluster_state,Wage two-part (state-clustered SE),ln_avg_weekly_wage,Log average weekly wage,has_college,College present (0/1),indicator,-0.0063280092077661,0.0091374527375481,-0.024237416573360378,0.011581398157828176,0.4886011820101854,,3143,3143,all_counties,0.4374599577756118,cluster_state,-0.6308029523588998
wage_two_part_cluster_state,Wage two-part (state-clustered SE),ln_avg_weekly_wage,Log average weekly wage,college_intensity_pct_positive_centered,Conditional intensity (1 pp from positive-county mean),positive-county centered,0.0002897742876323,0.0004221873935526,-0.000537713003730796,0.001117261578995396,0.4924835112354785,,3143,3143,all_counties,0.4374599577756118,cluster_state,0.02898162762567935
wage_two_part_winsorized_intensity,Wage two-part winsorized intensity,ln_avg_weekly_wage,Log average weekly wage,has_college,College present (0/1),indicator,-0.0064104014368244,0.0070330456920826,-0.020195170993306297,0.007374368119657496,0.3620484385177651,,3143,3143,all_counties,0.437476569557419,HC1,-0.6389898647297776
wage_two_part_winsorized_intensity,Wage two-part winsorized intensity,ln_avg_weekly_wage,Log average weekly wage,college_intensity_pct_positive_winsorized_centered,"Conditional intensity, winsorized (1 pp from positive-county mean)",winsorized positive-county centered,0.0003775794249219,0.0004569824879831,-0.0005181062515249759,0.001273265101368776,0.4086652139794177,,3143,3143,all_counties,0.437476569557419,HC1,0.037765071700546216
